,organic_products_export,chemicals_export,material_export,clothing_export,metals_export,technical_export,transportation_export,miscellaneous_goods_export,all_commodities_export,organic_products_import,chemicals_import,material_import,clothing_import,metals_import,technical_import,transportation_import,miscellaneous_goods_import,all_commodities_import,iso3,freight_2017,passengers_2017,name,normalised_export_2017,normalised_import_2017,normalised_freight_2017,normalised_passengers_2017,code
69,7.79,3.11,18.4,7.28,4.89,9.53,7.41,3.71,62.13,11.89,7.75,20.28,3.98,6.24,13.34,10.53,3.82,77.83,PRT,421.83,15943356.0,Portugal,4.145196092379535,4.367293635071817,6.0469702070133895,16.58455281141127,PRT
70,7.28,2.34,10.98,5.26,6.0,20.08,12.73,5.43,70.09,8.35,8.35,19.06,4.18,8.99,23.66,8.5,3.89,84.99,ROU,2.8,4425717.0,Romania,4.263946679941392,4.454231010422805,1.33500106673234,15.302943083148461,ROU
71,20.71,16.45,246.96,0.73,37.25,12.86,7.0,3.05,345.01,28.82,27.87,26.62,11.53,15.63,72.02,31.76,12.31,226.56,RUS,6845.23,89373638.0,Russia,5.846467676374181,5.427413939882447,8.83145341478638,18.30833633089047,RUS
72,3.15,1.03,3.38,1.15,2.3,3.27,1.53,0.79,16.61,1.7,2.14,6.14,0.79,2.05,3.66,1.72,0.77,18.96,SRB,7.36,2442731.0,Serbia,2.8684669225081145,2.993730270883318,2.1234584270966104,14.708627643035197,SRB
73,35.61,37.38,110.6,28.05,28.14,25.43,23.43,5.45,294.09,25.25,38.98,236.73,3.46,26.52,82.85,14.44,11.76,439.99,IND,2407.32,139822450.0,India,5.687280394556694,6.089022199452786,7.786684687965018,18.75588396857549,IND
74,3.2,2.11,13.27,2.66,8.72,27.86,23.04,3.61,84.48,4.85,5.21,17.03,3.02,8.11,27.17,12.51,4.98,82.87,SVK,0.0,7925.0,Slovakia,4.448282430450947,4.42926798099632,0.0,8.97790377375038,SVK
75,1.43,4.69,6.66,0.59,3.73,7.32,5.34,2.11,31.87,2.63,3.5,7.8,1.15,3.95,6.12,4.53,1.46,31.15,SVN,0.57,1087075.0,Slovenia,3.492560387676128,3.4704124506836282,0.45107561936021656,13.899002080862564,SVN
76,9.85,5.46,41.79,0.9,10.55,7.17,10.59,1.31,87.61,6.74,9.05,21.14,3.3,4.39,19.47,8.32,3.78,76.18,ZAF,833.93,20821044.0,South Africa,4.484244718059211,4.346140356109473,6.7273478890014,16.851474812014473,ZAF
77,53.2,31.94,59.41,19.03,25.82,40.6,64.66,10.72,305.37,40.47,39.07,85.2,24.12,23.36,59.18,50.7,18.34,340.44,ESP,1065.72,71908522.0,Spain,5.724793521845665,5.833171968113389,6.97234379886975,18.090905355304393,ESP
78,1.91,0.01,2.28,0.0,0.03,0.0,0.0,0.0,4.24,2.2,1.01,2.11,0.51,0.77,1.93,1.45,0.3,10.27,SDN,5.67,328741.0,Sudan,1.6563214983329508,2.422144328051685,1.8976198599275322,12.70302852757726,SDN
79,9.82,14.1,37.46,2.83,14.43,38.02,21.57,8.12,146.35,16.97,12.45,31.15,6.46,12.76,37.19,20.3,9.16,146.45,SWE,0.0,0.0,Sweden,4.992810709183703,4.993489135261285,0.0,0.0,SWE
80,9.24,98.31,96.64,3.5,9.59,35.97,5.52,40.54,299.31,12.61,45.62,115.37,9.65,12.28,33.03,19.34,19.6,267.5,CHE,1581.35,26737536.0,Switzerland,5.70481527446815,5.5928509139489195,7.366666362795927,17.10157901619606,CHE
81,11.33,5.68,124.57,4.01,12.57,39.69,16.36,4.69,218.89,20.05,14.49,80.38,8.56,14.99,77.34,31.28,10.57,257.66,ARE,16516.68,95306296.0,United Arab Emirates,5.3931274213106795,5.5555144579870985,9.712186601377583,18.372606441992428,ARE
82,16.91,6.06,38.81,22.11,18.98,21.92,26.87,4.93,156.58,12.67,19.6,88.2,4.19,29.58,48.32,23.2,7.68,233.43,TUR,4800.24,107917326.0,Turkey,5.059933265817542,5.457157035861426,8.476629496867005,18.49687600121011,TUR
83,0.6,1.3,0.59,0.62,0.63,1.4,0.27,0.25,5.67,0.85,0.66,3.18,0.32,0.77,1.28,0.39,0.26,7.71,MKD,0.0,0.0,Macedonia,1.8976198599275322,2.1644717908644115,0.0,0.0,MKD
84,30.06,62.72,96.73,12.67,22.16,93.57,75.55,32.89,426.36,63.77,64.31,157.7,36.49,30.16,139.78,92.25,43.38,627.84,GBR,5917.24,151867276.0,United Kingdom,6.057626749361651,6.443876852323313,8.685794386379152,18.838517519737323,GBR
85,1.71,0.13,2.04,0.18,0.05,0.03,0.01,0.02,4.18,0.81,1.16,2.49,0.2,0.58,1.52,0.73,0.27,7.77,TZA,0.38,1120060.0,Tanzania,1.6448050562713916,2.1713368063840917,0.3220834991691132,13.928893706073866,TZA
86,143.36,159.68,351.95,13.72,68.46,376.46,266.68,122.87,1503.17,152.81,200.34,443.62,138.48,133.41,705.7,329.72,212.17,2316.25,USA,41591.55,849403000.0,United States of America,7.3159965300370535,7.748136416755942,10.635676343672984,20.56004430891938,USA
87,5.06,0.36,1.99,0.02,0.09,0.1,0.12,0.12,7.89,1.16,1.21,2.25,0.46,0.42,1.6,0.91,0.44,8.46,URY,0.0,0.0,Uruguay,2.1849270495258133,2.247072383063787,0.0,0.0,URY
88,0.6,0.37,0.62,0.0,6.4,0.14,0.02,0.01,8.15,0.51,2.01,3.15,0.14,0.53,1.57,0.68,0.17,8.77,ZMB,81.56,154573.0,Zambia,2.21375387928743,2.2793164660546914,4.4135253017332525,11.948428225054396,ZMB
89,0.66,0.08,12.72,0.02,0.25,0.05,0.01,0.01,13.8,1.7,0.83,1.49,0.33,1.06,1.87,0.6,0.41,8.28,AZE,751.14,2331308.0,Azerbaijan,2.6946271807700692,2.2278615467981093,6.6229224768350825,14.661940470365005,AZE
90,35.03,4.67,8.0,0.1,1.72,1.34,6.36,0.27,57.48,3.0,9.07,12.59,1.57,3.57,18.56,14.83,3.15,66.34,ARG,306.26,18308373.0,Argentina,4.068684815441523,4.209754413732928,5.727694294702514,16.722869108775114,ARG
91,0.11,0.05,5.46,0.02,0.02,0.17,0.06,0.01,5.89,0.67,0.38,2.59,0.14,0.24,0.69,0.4,0.16,5.26,BWA,0.0,220844.0,Botswana,1.9300710850255671,1.8341801851120072,0.0,12.30521637696762,BWA
92,0.21,0.02,0.04,0.0,0.0,0.0,0.0,0.01,0.28,0.19,0.08,0.25,0.08,0.06,0.14,0.06,0.04,0.91,BLZ,3.75,1285642.0,Belize,0.2468600779315258,0.6471032420585385,1.55814461804655,14.066769540263635,BLZ
93,0.12,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.5,0.14,0.02,0.13,0.01,0.05,0.16,0.04,0.01,0.57,SLB,3.84,427806.0,Solomon Is.,0.4054651081081644,0.45107561936021656,1.5769147207285403,12.966427438282922,SLB
94,0.09,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.13,0.25,0.05,0.06,0.06,0.06,0.02,0.78,BDI,0.0,0.0,Burundi,0.13976194237515863,0.5766133643039938,0.0,0.0,BDI
95,0.72,0.1,2.2,0.01,0.18,0.03,0.01,0.01,3.26,1.21,0.63,1.48,0.14,0.38,0.85,0.38,0.12,5.18,CMR,0.0,236000.0,Cameroon,1.449269160281279,1.8213182714695995,0.0,12.371591321286905,CMR
96,0.22,0.01,0.43,0.0,0.02,0.03,0.01,0.0,0.73,1.69,0.14,0.71,0.03,0.1,0.2,0.17,0.02,3.06,BEN,0.0,0.0,Benin,0.5481214085096876,1.4011829736136414,0.0,0.0,BEN
97,0.78,0.28,0.74,0.09,0.44,0.1,0.27,0.03,2.73,1.17,0.77,2.49,0.39,0.57,1.33,0.77,0.4,7.9,GEO,0.26,323303.0,Georgia,1.3164082336557241,2.186051276738094,0.23111172096338664,12.686348336046514,GEO
98,3.43,0.16,10.53,0.02,0.16,0.04,0.0,0.02,14.36,2.4,1.22,3.07,0.26,1.28,2.18,1.91,0.4,12.72,GHA,0.76,299384.0,Ghana,2.731766727719526,2.6188546222977394,0.5653138090500605,12.609485649512207,GHA
99,7.01,0.42,3.99,0.11,0.08,0.14,0.77,0.05,12.56,2.04,1.06,2.81,0.17,0.56,1.37,1.31,0.28,9.6,CIV,1.37,788098.0,Côte d'Ivoire,2.6071242825122494,2.3608540011180215,0.8628899551470398,13.577378995466427,CIV
100,0.34,0.53,0.37,0.0,0.02,0.03,0.01,0.01,1.31,1.03,0.53,2.1,0.14,0.29,0.77,0.69,0.24,5.8,JAM,2.84,151326.0,Jamaica,0.8372475245337022,1.916922612182061,1.3454723665996355,11.927198337259366,JAM
101,3.43,0.42,1.02,0.39,0.24,0.13,0.06,0.07,5.75,3.19,1.71,4.61,0.49,1.36,2.95,1.77,0.61,16.69,KEN,254.35,4892682.0,Kenya,1.9095425048844386,2.872999508171694,5.542635153093653,15.403251381742935,KEN
