,scalerank_left,airport_name,abbrev,location,gps_code,iata_code,wikipedia,wdid_score,ne_id,name,iso3,size,usage,top_20_busiest_airports,busiest_airport_ranking,amount_passed_through
122,8,Falls Int'l,INL,terminal,KINL,INL,http://en.wikipedia.org/wiki/Falls_International_Airport,4,1159116121,United States of America,USA,mid,civilian,0,0,0
123,8,Inverness,INV,terminal,EGPE,INV,http://en.wikipedia.org/wiki/Inverness_Airport,4,1159116141,United Kingdom,GBR,mid,civilian,0,0,0
124,8,Imperial Cty.,IPL,terminal,KIPL,IPL,http://en.wikipedia.org/wiki/Imperial_County_Airport,4,1159116157,United States of America,USA,mid,civilian,0,0,0
125,8,Jammu,IXJ,terminal,VIJU,IXJ,http://en.wikipedia.org/wiki/Jammu_Airport,4,1159116179,India,IND,mid,civilian,0,0,0
126,8,Madurai,IXM,terminal,VOMD,IXM,http://en.wikipedia.org/wiki/Madurai_Airport,4,1159116199,India,IND,mid,civilian,0,0,0
127,8,Jodhpur,JDH,terminal,VIJO,JDH,http://en.wikipedia.org/wiki/Jodhpur_Airport,4,1159116221,India,IND,major,military/civilian,0,0,0
128,8,Jabalpur,JLR,terminal,VAJB,JLR,http://en.wikipedia.org/wiki/Jabalpur_Airport,4,1159116243,India,IND,mid,civilian,0,0,0
129,8,Kilimanjaro Int'l,JRO,terminal,HTKJ,JRO,http://en.wikipedia.org/wiki/Kilimanjaro_International_Airport,4,1159116261,Tanzania,TZA,mid,civilian,0,0,0
130,8,Kaduna,KAD,terminal,DNKA,KAD,http://en.wikipedia.org/wiki/Kaduna_Airport,4,1159116287,Nigeria,NGA,mid,civilian,0,0,0
131,8,Kananga,KGA,terminal,FZUA,KGA,http://en.wikipedia.org/wiki/Kananga_Airport,4,1159116305,Dem. Rep. Congo,COD,mid,civilian,0,0,0
132,8,Kumasi,KMS,terminal,DGSI,KMS,http://en.wikipedia.org/wiki/Kumasi_Airport,4,1159116323,Ghana,GHA,mid,civilian,0,0,0
133,8,Viña del Mar,KNA,ramp,SCVM,KNA,http://en.wikipedia.org/wiki/Vi%C3%B1a_del_Mar_Airport,4,1159116349,Chile,CHL,mid,civilian,0,0,0
134,8,Kanpur,KNU,terminal,VIKA,KNU,http://en.wikipedia.org/wiki/Kanpur_Airport,4,1159116365,India,IND,mid,civilian,0,0,0
135,8,Kona Int'l at Keahole,KOA,terminal,PHKO,KOA,http://en.wikipedia.org/wiki/Kona_International_Airport,4,1159116385,United States of America,USA,mid,civilian,0,0,0
136,8,Kirkwall,KOI,ramp,EGPA,KOI,http://en.wikipedia.org/wiki/Kirkwall_Airport,4,1159116405,United Kingdom,GBR,mid,civilian,0,0,0
137,8,Kota,KTU,terminal,VIKO,KTU,http://en.wikipedia.org/wiki/Kota_Airport,4,1159116425,India,IND,mid,civilian,0,0,0
138,8,Konya,KYA,terminal,LTAN,KYA,http://en.wikipedia.org/wiki/Konya_Airport,4,1159116445,Turkey,TUR,major,military/civilian,0,0,0
139,8,Blue Grass,LEX,terminal,KLEX,LEX,http://en.wikipedia.org/wiki/Blue_Grass_Airport,4,1159116465,United States of America,USA,major,civilian,0,0,0
140,8,Lihue,LIH,terminal,PHLI,LIH,http://en.wikipedia.org/wiki/Lihu'e_Airport,4,1159116477,United States of America,USA,mid,civilian,0,0,0
141,8,Clinton National,LIT,terminal,KLIT,LIT,http://en.wikipedia.org/wiki/Little_Rock_National_Airport,5,1159116503,United States of America,USA,major,civilian,0,0,0
