scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id,lon,lat
6,Airport,mid,Cheddi Jagan Int'l,GEO,terminal,SYCJ,GEO,http://en.wikipedia.org/wiki/Cheddi_Jagan_International_Airport,20.00000,,Q1333912,,,Flughafen Georgetown,Cheddi Jagan International Airport,Aeropuerto Internacional Cheddi Jagan,aéroport international Cheddi Jagan,,,,Bandar Udara Internasional Cheddi Jagan,,チェディ・ジェーガン国際空港,체디 차카 국제공항,Luchthaven Cheddi Jagan,Port lotniczy Georgetown,Aeroporto Internacional Cheddi Jagan,,Cheddi Jagan International Airport,,Sân bay quốc tế Cheddi Jagan,喬治敦國際機場,4,1159123603,-58.25412,6.49855
6,Airport,major,Cochin Int'l,COK,terminal,VOCI,COK,http://en.wikipedia.org/wiki/Cochin_International_Airport,20.00000,,Q592172,مطار كوتشين,,Flughafen Kochi,Cochin International Airport,Aeropuerto Internacional de Cochin,aéroport international Cochin,,कोचीन अंतर्राष्ट्रीय विमानक्षेत्र,,,Aeroporto Internazionale di Kochi,コーチン国際空港,,Cochin International Airport,Port lotniczy Koczin,,Кочин,Cochin International Airport,,Sân bay quốc tế Cochin,柯枝国际机场,4,1159123615,76.39052,10.15512
6,Airport,mid,Eldoret Int'l,EDL,terminal,HKEL,EDL,http://en.wikipedia.org/wiki/Eldoret_International_Airport,20.00000,,Q1258402,,,,Eldoret International Airport,Aeropuerto Internacional de Eldoret,aéroport d'Eldoret,,,,Bandar Udara Internasional Eldoret,,エルドレット,,Luchthaven Eldoret Internationaal,Port lotniczy Eldoret,,,Eldoret International Airport,,Sân bay quốc tế Eldoret,埃尔多雷特国际机场,4,1159123629,35.22369,0.40507
6,Airport,major,Incheon Int'l,ICN,terminal,RKSI,ICN,http://en.wikipedia.org/wiki/Incheon_International_Airport,20.00000,,Q20932,مطار إنتشون الدولي,ইনছন আন্তর্জাতিক বিমানবন্দর,Flughafen Incheon,Incheon International Airport,Aeropuerto Internacional de Incheon,aéroport international d'Incheon,,इंचेयन अन्तर्राष्ट्रीय विमानक्षेत्र,Incshoni nemzetközi repülőtér,Bandar Udara Internasional Incheon,Aeroporto Internazionale Incheon,仁川国際空港,인천국제공항,Incheon International Airport,Port lotniczy Seul-Inczhon,Aeroporto Internacional de Incheon,Инчхон,Incheon International Airport,Incheon Uluslararası Havalimanı,Sân bay quốc tế Incheon,仁川國際機場,4,1159123643,126.45088,37.44921
6,Airport,mid,Federal de Bachigualato Int'l,CUL,terminal,MMCL,CUL,http://en.wikipedia.org/wiki/Federal_de_Bachigualato_International_Airport,20.00000,,Q2231716,,,,Federal de Bachigualato International Airport,Aeropuerto Internacional Federal de Culiacán,,,,,Bandar Udara Internasional Federal de Bachigualato,,クリアカン国際空港,,,Port lotniczy Culiacán,,,Federal de Bachigualato International Airport,,Sân bay quốc tế Federal de Bachigualato,Bachigualato聯邦國際機場,4,1159123657,-107.46986,24.76680
6,Airport,major and military,Benazir Bhutto Int'l,ISB,terminal,OPRN,ISB,http://en.wikipedia.org/wiki/Islamabad_International_Airport,20.00000,,Q816717,مطار بينظير بوتو الدولي,বেনজির ভুট্টো আন্তর্জাতিক বিমানবন্দর,Benazir Bhutto International Airport,Islamabad International AirPort,Aeropuerto Internacional Benazir Bhutto,aéroport international Benazir Bhutto,,बेनज़ीर भुट्टो अंतर्राष्ट्रीय हवाई अड्डा,,Bandar Udara Internasional Benazir Bhutto,Aeroporto Internazionale Benazir Bhutto,ベナジル・ブット国際空港,베나지르 부토 국제공항,Benazir Bhutto International Airport,Port lotniczy Islamabad,Aeroporto Internacional Benazir Bhutto,Исламабад,,,Sân bay quốc tế Benazir Bhutto,伊斯兰堡贝娜齐尔·布托国际机场,4,1159123669,73.10079,33.60745
5,Airport,major,Brussels,BRU,terminal,EBBR,BRU,http://en.wikipedia.org/wiki/Brussels_Airport,30.00000,,Q28934,مطار بروكسل الدولي,,Flughafen Brüssel-Zaventem,Brussels Airport,Aeropuerto de Bruselas-National,aéroport de Bruxelles,Διεθνές Αεροδρόμιο Βρυξελλών,ब्रसल्स अन्तर्राष्ट्रीय विमानक्षेत्र,Brüsszeli repülőtér,Bandar Udara Internasional Brussel,aeroporto di Bruxelles-National,ブリュッセル国際空港,브뤼셀 공항,Brussels Airport,Port lotniczy Bruksela,Aeroporto de Bruxelas,Брюссель,Bryssel-Zaventem flygplats,Brüksel Havalimanı,Sân bay Brussels,布鲁塞尔机场,4,1159123683,4.48464,50.89729
5,Airport,major,Abuja Int'l,ABV,terminal,DNAA,ABV,http://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,30.00000,,Q525030,مطار نامدي أزيكيوي الدولي,,Flughafen Abuja,Nnamdi Azikiwe International Airport,Aeropuerto Internacional Nnamdi Azikiwe,aéroport international Nnamdi Azikiwe,,,,Bandar Udara Internasional Nnamdi Azikiwe,Aeroporto Internazionale Nnamdi Azikwe,ンナムディ・アジキウェ国際空港,은남디 아지키웨 국제공항,Nnamdi Azikiwe International Airport,Port lotniczy Abudża,Aeroporto Internacional Nnamdi Azikiwe,,,,Sân bay quốc tế Nnamdi Azikiwe,纳姆迪·阿齐基韦国际机场,4,1159123699,7.27026,9.00438
5,Airport,mid,Arcata-Eureka,ACV,terminal,KACV,ACV,http://en.wikipedia.org/wiki/Arcata-Eureka_Airport,30.00000,,Q1430853,,,Flughafen Arcata-Eureka,Arcata-Eureka Airport,Aeropuerto de Arcata-Eureka,aéroport d'Arcata-Eureka,,,,,,アーケータ＝ユーレカ空港,,Arcata-Eureka Airport,Port lotniczy Arcata-Eureka,,Arcata-Eureka Airport,,,,阿克塔,4,1159123711,-124.10707,40.97192
5,Airport,major,Austin-Bergstrom Int'l,AUS,terminal,KAUS,AUS,http://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport,30.00000,,Q1430913,مطار أوستن برغستروم الدولي,,Flughafen Austin-Bergstrom International,Austin-Bergstrom International Airport,Aeropuerto Internacional de Austin-Bergstrom,aéroport international Austin-Bergstrom,Διεθνής αερολιμένας Ώστιν–Μπέργστρομ,,,,Aeroporto Internazionale di Austin-Bergstrom,オースチン・バーグストロム国際空港,오스틴 버그스트롬 국제공항,Austin-Bergstrom International Airport,Port lotniczy Austin-Bergstrom,Aeroporto Internacional de Austin-Bergstrom,Остин Бергстром,,Austin-Bergstrom Uluslararası Havalimanı,Sân bay quốc tế Austin-Bergstrom,奥斯汀－伯格斯特国际机场,4,1159123731,-97.66684,30.20211
