"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Central African Republic","CAF","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.8000001907","7.0999999046","8","8.3000001907","10.8000001907","11.5","13.1999998093","13.1000003815","14.6999998093","17.2000007629","18.1000003815","21.1000003815","21.1000003815","18.7999992371","17.5","18.5","16.6000003815","16.3999996185","16","18.1000003815","17.7999992371","16.2000007629","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","370.8999938965","403.5","433.3999938965","484.200012207","520.299987793","534.299987793","567.700012207","550.4000244141","608.5999755859","670.4000244141","688.5999755859","713.0999755859","746.5999755859","825.5999755859","967.200012207","989.799987793","977","1006.799987793","1170.5999755859","1311.3000488281","1385.3000488281","1241.4000244141","1249.6999511719","1369.1999511719","1478.5999755859","1637.4000244141","1781","1956.5","1805.6999511719","1881.5999755859","1896.114","1709.813","1578.027","1496.297","1656.579","1526.819","1503.185","1429.845","1388.665","1346.938","1957.32853635002","1980","1960","1946.30559714895","2084.318163","2074.830881067","2246.22709557467","2840.9851350232","",
"Central Europe and the Baltics","CEB","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","36.0000000001","37.8999996184","40.0999994277","42.1000008583","44","45.4000000953","47.3000001908","52.1999998093","56.1999998093","59.4000015259","56.3000001907","54.6999998092","46.5000000001","44","51.5000000001","53.1000008583","54.1000003815","55.1000003815","58.3000011443","74.0999984742","91.0000019073","84.7999978065","108.6999995261","133.7000001073","153.1999993623","177.0999965742","169.9999990611","204.8000021726","207.4740037939","181.2190047536","190.892","150.13","140.548","154.178","159.906","151.235","169.074","219.086","192.783","124.73","122.821185504833","86.1420568679561","123.186723538612","135.89104478","165.63870558","153.047416682","190.546780646509","259.4233","",
"Switzerland","CHE","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","169.1000061035","181.8999938965","198.1999969482","236.6000061035","272.200012207","285.799987793","320.8999938965","350.8999938965","402.5","407","421.5","453.299987793","461.299987793","540","633.5999755859","636.799987793","673.9000244141","734","813.5","888.700012207","928.5","944.799987793","1063.5999755859","1247.3000488281","1408.4000244141","1509.5","1511.3000488281","1829.6999511719","1963.4000244141","1877.3000488281","1971.647","1641.819","1028.307","1248.302","1089.934","1109.641","1039.027","1104.843","1181.567","1057.893","1282.496418","1354.590823","1371.470116","1444.374258","1508.892548","1409.329209","1532.761243","1581.353512","",
"Channel Islands","CHI","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","41.0999984741","46.7999992371","52.7000007629","46.7000007629","55.2000007629","57.2000007629","75.6999969482","105.1999969482","102.0999984741","85","144.8999938965","153.3000030518","141.6999969482","120.3000030518","105.4000015259","114.1999969482","137.1999969482","186.3999938965","242.8000030518","329.5","418.5","428.8999938965","529","616.200012207","652.5","775.4000244141","806.200012207","1071.1999511719","1246.1999511719","1139.4000244141","1312.011","1277.282","1098.015","1130.19","1094.133","1053.819","1027.669","1294.967","1307.721","1179.048","1399.549392","1422.29934","1527.067","1512.319","1553.479","1392.236","1441.23","1237.960141","",
"China","CHN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","29.2000007629","46.2000007629","49","60","86","123","120.9000015259","155.3999938965","184.1999969482","216","302","403","467.5","647.5","731.799987793","683.0999755859","818.299987793","1009.5","1316","1547","1717.1999511719","1501","1688.5999755859","2083.6000976563","2474.1999511719","3295.3999023438","3900.08","4232.312","5013.505","5650.63","7024.25","7579.401","7692.205","11189.538","11386.055","11976.438","17193.8774","16764.869","15568.753","16053.7331","17822.581","19805.63","21304.5851","23323.6147","",
"Cote d'Ivoire","CIV","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.9000000954","7.1999998093","8.1000003815","8.3999996185","10.8999996185","11.6000003815","13.1999998093","13.1999998093","14.8000001907","17.2999992371","18.2000007629","21.3999996185","21.3999996185","19.1000003815","17.7999992371","18.3999996185","16.6000003815","16.2999992371","15.8999996185","18.1000003815","17.7000007629","16.1000003815","15.1999998093","14.3000001907","14.5","15.3000001907","16.5","15.3000001907","13.6000003815","13.8000001907","12.292","7.364","","","","","","","","","15.376963961","2.70860361698403","0","4.563948","4.71912","0.983368072842825","1.20223033825879","1.36590244077855","",
"Cameroon","CMR","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.9000000954","6.8000001907","4.3000001907","7.4000000954","8.3000001907","8.5","5.6999998093","5.8000001907","7.8000001907","8.1999998093","27.7000007629","31.3999996185","45.7000007629","43.5","55.5","56.9000015259","34.7999992371","36.7000007629","38.2999992371","19.1000003815","13.1000003815","9.6000003815","9.3000001907","21.7000007629","25","38.9000015259","41.5999984741","34.4000015259","51.5999984741","46.5","42.03","36.88","42.717","20.254","22.825","24.399","29.001","26.095","25.522","23.105","0","0","0","0","","","","","",
"Congo, Dem. Rep.","COD","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","13.6999998093","17.2999992371","18.8999996185","24.6000003815","33.9000015259","44.7999992371","53.5","42","37.5","41.5","34.5","38.4000015259","30.7000007629","28.8999996185","32","30.5","31.1000003815","52.5","55.2999992371","59.7000007629","57.2999992371","33.2000007629","28.5","22.1000003815","43.0999984741","","","","","","","7.40000009536743","","","","","","","","","0","0","0.206531325","0.081984","0.084444","0.0858397685950413","0.058456882","","",
